"Population"	"Ca"	"CEC"	"OM"	"P"	"Mg"	"K"	"Mn"	"Zn"	"pH"
"CTTP"	151	15.2	7.5	3.6	29	58	18.7	1.6	5.1
"MABM"	1207	20.5	15.2	4.1	181	83	46.5	4.3	5.8
"MAMT"	418	16.9	8.5	7.5	58	63	46.8	1.5	5.5
"MAST"	255	15.9	13.1	5.1	58	100	39.4	1.4	5.7
"MDDM"	341	26.3	20.3	15.8	44	160	271.8	2.8	4.2
"MOBS"	571	13.2	4.5	2.1	100	81	32.3	0.6	5.8
"MOBU"	606	12.5	4.4	2.3	61	77	40.5	1.7	5.9
"MOHC"	398	11.7	3.4	5.4	58	62	18.4	0.8	5.4
"MOOC"	410	13.8	4.6	3.6	84	84	25.8	2	5.3
"MOSH"	980	13.4	5.9	3	162	103	36.6	1.2	6.4
"NHER"	211	14.1	9.2	2.6	27	70	15.9	0.8	5.7
"NJKP"	112	21.8	11.9	7.3	33	82	9.4	3.4	4.9
"NYMP"	824	12.7	5.1	2.4	148	61	14.1	0.9	6.4
"NYTS"	440	20.7	12.8	4.4	39	49	64.8	1.7	5.4
"OHBH"	52	19.9	3.9	5.4	27	51	21.5	1	4.7
"OHHH"	149	18.9	6	4.4	41	64	30.4	2	4.7
"OHPR"	67	16.5	4.7	5	35	65	27.8	1.2	4.7
"OHSC"	245	19.4	5.7	6.4	59	70	49.4	2.8	5
"ONRB"	895	8.4	4.7	5.6	150.2	67	11	4.5	5.4
"PABE"	53	17.7	5.7	8.2	16	64	41.7	0.9	4.9
"PACR"	1350	16.6	5.4	0.8	38	40	18.9	4.2	6
"PAGP"	923	17.9	9.2	3.9	192	130	53.9	3.1	5.5
"PASG"	568	18.4	4.9	2	187	50	19.6	1.4	5.5
"VAAC"	63	16	8.1	6.8	32	71	21	1.9	5.2
"VAHB"	259	15.9	5.8	3.9	73	82	39.4	1.5	5.2
"WVFM"	122	13.5	5.2	1.9	47	49	33.1	1.6	5.6
"WVSS"	809	13.8	4.4	1.7	51	50	14.1	1.4	5.5
